,L,M,chi,C
0,2,0.91985,0.10564518685055234,0.30470004539351253
1,4,0.84465,0.33974008395978,0.7784734883840393
2,8,0.766928125,1.292990634754515,1.1802386622024594
3,16,0.7011359375,4.531989694851035,1.5685753300686833
4,32,0.6202455078125,18.430024859749807,2.0421080942645444
