,T,M,chi,C
0,1.7,0.962019921875,2.9260672388966884,0.653106242214619
1,1.768421052631579,0.961637109375,0.09439010912075219,0.40146993427239075
2,1.8368421052631578,0.9506822265625,0.1386220161223909,0.48730774122917664
3,1.9052631578947368,0.9370125,0.20876770729446986,0.5719760876393757
4,1.9736842105263157,0.91974765625,0.3065551899876452,0.6706294728107318
5,2.042105263157895,0.8958546875,0.5187899390453047,0.7972828720835916
6,2.110526315789474,0.8606822265625,1.1141510299139916,1.0292327305480573
7,2.1789473684210527,0.8103275390625,3.357121818904249,1.217745448085008
8,2.2473684210526317,0.7344986328125,5.920972150276829,1.4952554515737162
9,2.3157894736842106,0.5030970703125,21.542056379145283,1.8442748677071483
10,2.3842105263157896,0.355103515625,17.991244359565197,1.387097740662432
11,2.4526315789473685,0.239501953125,11.611857222790823,1.0559600524961394
12,2.5210526315789474,0.18791015625,7.271476358624979,0.838832789146729
13,2.5894736842105264,0.1483126953125,4.798956342020246,0.7241264874526417
14,2.6578947368421053,0.1352478515625,3.8384402279866925,0.6390162618615829
15,2.7263157894736842,0.1194435546875,2.9668736754803975,0.5682498531716738
16,2.794736842105263,0.10466875,2.273363121539548,0.523908786277167
17,2.863157894736842,0.094638671875,1.8881156885483663,0.4627824462043635
18,2.931578947368421,0.09170234375,1.6175912036692393,0.4402291906496225
19,3.0,0.08510859375,1.4294511518750244,0.39513808826389624
