,T,M,chi,C
0,1.7,0.9687875,0.07635288823328527,0.3616782967128037
1,1.768421052631579,0.96224375,0.0899620581082021,0.397411270408166
2,1.8368421052631578,0.95078125,0.12877995164613598,0.46574559517369296
3,1.9052631578947368,0.93726875,0.1987305931617952,0.5660910513243591
4,1.9736842105263157,0.923559375,0.26488200168232673,0.6310023776640002
5,2.042105263157895,0.896534375,0.4734097658016482,0.8047503391433719
6,2.110526315789474,0.87670625,0.5244491240021444,0.8546380235679505
7,2.1789473684210527,0.835028125,0.8577823982639672,1.0188972625834332
8,2.2473684210526317,0.797384375,1.0655944846169993,1.1023047016533323
9,2.3157894736842106,0.758215625,1.2698904662080794,1.1646062125503565
10,2.3842105263157896,0.70020625,1.4957486925502754,1.155174555190074
11,2.4526315789473685,0.632446875,1.7905388265696982,1.200479931881915
12,2.5210526315789474,0.589284375,1.762782505493666,1.0812654894112192
13,2.5894736842105264,0.53494375,1.7313032856202795,0.9618328861747301
14,2.6578947368421053,0.502609375,1.6668015188740823,0.8867382806548365
15,2.7263157894736842,0.448803125,1.5578687127053719,0.7831998137475588
16,2.794736842105263,0.420284375,1.4177097158782743,0.6710445826053956
17,2.863157894736842,0.3961375,1.312957695036899,0.6050619085714485
18,2.931578947368421,0.365140625,1.185145461456525,0.542302335703742
19,3.0,0.340690625,1.0488565747917087,0.4696505766666661
